avg,day,max,min
4,2025-11-25,12,0
3,2025-11-26,9,0
3,2025-11-27,11,0
3,2025-11-28,11,0
3,2025-11-29,9,0
3,2025-11-30,8,0
1,2025-12-01,1,0
