avg,day,max,min
50,2025-11-26,72,18
77,2025-11-27,107,47
65,2025-11-28,97,35
60,2025-11-29,79,39
81,2025-11-30,97,62
84,2025-12-01,115,55
72,2025-12-02,122,53
55,2025-12-03,60,42
